name,time,download,ping,upload
speedtest,1649448903364657000,15088583.740213059,37.698,17128984.347621147
speedtest,1649450703425197000,40291580.57924343,32.199,37119561.80008653
speedtest,1649452503406334000,15258761.177218642,36.676,16139185.009426868
speedtest,1649454303219270000,43806360.677243054,35.235,39013265.46564391
speedtest,1649456103594411000,39189367.71071957,33.316,20448782.257962383
speedtest,1649459703533251000,25958237.15489845,15.451,10486212.785149112
speedtest,1649461503427615000,24125291.891609196,13.73,13068777.988453547
speedtest,1649463303415040000,19749181.197529625,14.76,14471633.516820487
speedtest,1649465103789804000,28291032.713338587,18.684,38939155.67855116
speedtest,1649466903034834000,16835930.646649648,14.764,10557216.414498417
speedtest,1649468703060393000,21019436.560556047,28.622,32412833.26624123
speedtest,1649470503751266000,26020494.739425335,24.975,20373900.52748119
speedtest,1649472303885677000,5035505.842255099,45.628,8794006.505513225
speedtest,1649474103931909000,7728427.663164911,25.173,14525088.350536015
speedtest,1649475903449805000,26957890.625886347,25.742,15331009.664847352
speedtest,1649477704062784000,30257697.38286583,50.772,44481086.1005443
speedtest,1649479503783609000,48751155.31224433,66.717,33037223.70771719
speedtest,1649481303717456000,51910455.47171423,36.039,30494848.08556831
speedtest,1649483103367577000,45154305.724664375,40.707,37665546.811784804
speedtest,1649484903494231000,49865310.63640042,37.467,28622246.437504206
speedtest,1649486704169930000,51647806.4771159,40.054,38121047.24351845
speedtest,1649488503751036000,49890083.84167566,45.893,23032095.217775557
speedtest,1649490303734037000,32735971.35995043,24.81,35861239.29541876
speedtest,1649492103842945000,23404971.593238235,53.282,15360878.408891732
speedtest,1649493904052486000,19974341.187355265,47.955,16951848.79122799
speedtest,1649495704175726000,21165748.875780676,30.925,32931153.12558913
speedtest,1649498168758906000,33489077.273460016,161.782,46801967.42593181
speedtest,1649499302956626000,23537634.956460856,54.786,35724096.43364676
speedtest,1649501103798547000,548625.7066493029,157.934,2874280.005104628
speedtest,1649502903379545000,4359869.394585705,124.271,25660.82799284969
speedtest,1649504703493055000,6586634.296234032,74.067,5744442.289837682
speedtest,1649506503032166000,3126367.1306219962,85.686,6669529.010101809
speedtest,1649508303989117000,2354909.94314757,107.374,5208471.722402253
speedtest,1649510102968318000,1598452.078233019,109.965,6449807.32292202
speedtest,1649511903577742000,32523660.150146194,38.424,44250619.897145815
speedtest,1649513703072947000,31396541.21960015,63.393,40619649.44948185
speedtest,1649515503172670000,30251186.161774635,38.286,40228338.18431943
speedtest,1649517303663691000,36944020.48942907,36.995,40749204.458648175
speedtest,1649519103110973000,51721908.96286204,61.275,39956980.58585174
speedtest,1649520903892751000,12365708.448092991,123.326,7777357.1791098565
speedtest,1649522703252869000,21606566.10061674,23.801,42902373.83463636
speedtest,1649524503910967000,19657653.30775438,35.396,17669666.16499747
speedtest,1649526303659149000,9429326.231962843,23.316,18599748.07994651
speedtest,1649528103177481000,15704667.431341233,25.102,43204140.10401559
speedtest,1649529903083050000,22773765.774137467,54.415,38983668.55258296
speedtest,1649531703809255000,15313524.587611906,26.226,38622668.48514811
speedtest,1649533503506604000,31560834.537163455,48.589,31988917.70237834
speedtest,1649535304062134000,8283919.024937368,54.318,12446328.60195853
speedtest,1649537103650890000,3587500.291084854,82.085,9467336.477037016
speedtest,1649538903583971000,32344199.662021935,35.473,43729189.92293588
speedtest,1649540703127645000,30722400.42943723,51.345,42249410.38320942
speedtest,1649542503268327000,4609908.00301103,51.74,13888816.465794576
speedtest,1649544304060556000,5026738.252345707,113.295,4624148.681407614
speedtest,1649546103850932000,7215397.894105016,50.18,11010979.573923202
speedtest,1649547902964362000,2627908.4467073046,51.565,5710069.967915297
speedtest,1649549703218724000,9400274.463956729,49.854,7842596.412386311
speedtest,1649551503264979000,2629863.4259998617,42.579,5514851.108817054
speedtest,1649553303307525000,6086141.638423659,54.986,8196966.998774398
speedtest,1649555103795155000,23590134.69685257,14.823,29896443.376893137
speedtest,1649556903562904000,20880047.17838081,16.225,44236751.24450833
speedtest,1649558703789719000,16704728.180275045,16.885,34499132.55874505
speedtest,1649560503708058000,10287939.51445116,14.82,29152899.386361506
speedtest,1649562303162469000,21694289.795130152,14.286,44408405.27176677
speedtest,1649564103029933000,14305952.545596337,15.351,38621246.94094755
speedtest,1649565903895053000,5941368.104311091,88.09,7886626.270958916
speedtest,1649567702954395000,5992281.076061269,71.402,7876569.919262655
speedtest,1649569503924451000,8643464.803244991,73.898,8040417.735519101
speedtest,1649571303087912000,7335967.611417763,73.878,8789148.151161421
speedtest,1649573103127674000,7318114.369376832,75.716,6697418.727852271
speedtest,1649574903809953000,5366113.392096114,82.882,8687294.934373004
